Params:lr = 0.07, n_d=16, n_a=8, gamma=1.2, n_steps=5, lambda=0.01, Score: 0.8521
Params:lr = 0.07, n_d=16, n_a=8, gamma=1.2, n_steps=7, lambda=0.001, Score: 0.8563
Params:lr = 0.07, n_d=16, n_a=8, gamma=1.2, n_steps=7, lambda=0.01, Score: 0.8563
Params:lr = 0.07, n_d=16, n_a=8, gamma=1.5, n_steps=3, lambda=0.001, Score: 0.8540
Params:lr = 0.07, n_d=16, n_a=8, gamma=1.5, n_steps=3, lambda=0.01, Score: 0.8497
Params:lr = 0.07, n_d=16, n_a=8, gamma=1.5, n_steps=5, lambda=0.001, Score: 0.8507
Params:lr = 0.07, n_d=16, n_a=8, gamma=1.5, n_steps=5, lambda=0.01, Score: 0.8534
Params:lr = 0.07, n_d=16, n_a=8, gamma=1.5, n_steps=7, lambda=0.001, Score: 0.8494
Params:lr = 0.07, n_d=16, n_a=8, gamma=1.5, n_steps=7, lambda=0.01, Score: 0.8488
Params:lr = 0.07, n_d=16, n_a=8, gamma=1.8, n_steps=3, lambda=0.001, Score: 0.8527
Params:lr = 0.07, n_d=16, n_a=8, gamma=1.8, n_steps=3, lambda=0.01, Score: 0.8550
Params:lr = 0.07, n_d=16, n_a=8, gamma=1.8, n_steps=5, lambda=0.001, Score: 0.8548
Params:lr = 0.07, n_d=16, n_a=8, gamma=1.8, n_steps=5, lambda=0.01, Score: 0.8492
Params:lr = 0.07, n_d=16, n_a=8, gamma=1.8, n_steps=7, lambda=0.001, Score: 0.8523
Params:lr = 0.07, n_d=16, n_a=8, gamma=1.8, n_steps=7, lambda=0.01, Score: 0.8524
Params:lr = 0.07, n_d=16, n_a=16, gamma=1.2, n_steps=3, lambda=0.001, Score: 0.8555
Params:lr = 0.07, n_d=16, n_a=16, gamma=1.2, n_steps=3, lambda=0.01, Score: 0.8534
Params:lr = 0.07, n_d=16, n_a=16, gamma=1.2, n_steps=5, lambda=0.001, Score: 0.8550
Params:lr = 0.07, n_d=16, n_a=16, gamma=1.2, n_steps=5, lambda=0.01, Score: 0.8509
Params:lr = 0.07, n_d=16, n_a=16, gamma=1.2, n_steps=7, lambda=0.001, Score: 0.8564
Params:lr = 0.07, n_d=16, n_a=16, gamma=1.2, n_steps=7, lambda=0.01, Score: 0.8561
Params:lr = 0.07, n_d=16, n_a=16, gamma=1.5, n_steps=3, lambda=0.001, Score: 0.8521
